Food,Category,kcal,Protein,Fat,Carbs,Fiber,Glucose,FDC_ID
"Apple, raw",auto,61,0.17,0.15,14.8,2.1,N/A,2709215
"Banana, raw",auto,97,0.74,0.28,22.71,1.7,N/A,2709224
"Orange, raw",auto,50,0.92,0.14,11.78,2.2,N/A,2709171
"Lemon, raw",auto,29,1.1,0.3,9.32,2.8,N/A,2709168
"Mango, raw",auto,60,0.82,0.38,14.98,1.6,N/A,2709242
"Pineapple, raw",auto,60,0.46,0.21,14.09,0.9,N/A,2709260
"Papaya, raw",auto,43,0.47,0.26,10.82,1.7,N/A,2709246
"Watermelon, raw",auto,30,0.61,0.15,7.55,0.4,N/A,2709270
"Honeydew melon, raw",auto,36,0.54,0.14,9.09,0.8,N/A,2709241
"Strawberries, raw",auto,36,0.64,0.22,7.96,1.8,N/A,2709283
"Blueberries, raw",auto,64,0.7,0.31,14.57,2.4,N/A,2709275
"Raspberries, raw",auto,57,1.01,0.19,12.9,6.5,N/A,2709281
"Grapes, raw",auto,83,0.9,0.2,19.4,0.9,N/A,2709237
"Cherries, raw",auto,71,1.04,0.19,16.16,2.1,N/A,2709231
"Kiwi fruit, raw",auto,64,1.06,0.44,14.0,3,N/A,2709239
"Pear, raw",auto,59,0.37,0.15,15.18,3.1,N/A,2709254
"Peach, raw",auto,46,0.91,0.27,10.1,1.5,N/A,2709249
"Apricot, raw",auto,48,1.4,0.39,11.12,2,N/A,2709221
"Plum, raw",auto,46,0.7,0.28,11.42,1.4,N/A,2709265
"Fig, raw",auto,74,0.75,0.3,19.18,2.9,N/A,2709235
"Pomegranate, raw",auto,83,1.67,1.17,18.7,4,N/A,2709267
"Avocado, raw",auto,160,2.0,14.66,8.53,6.7,N/A,2709223
Date,auto,282,2.45,0.39,75.03,8,N/A,2709203
"Nuts, coconut meat, raw",auto,1480.0,3.33,33.5,15.2,9.0,N/A,170169
"Tomatoes, raw",auto,20,0.82,0.31,4.04,1.2,N/A,2709719
"Carrots, raw",auto,44,0.87,0.24,9.68,2.9,N/A,2709660
"Potatoes, raw, skin",auto,58.0,2.57,0.1,12.4,2.5,N/A,170032
"Sweet potato leaves, raw",auto,42.0,2.49,0.51,8.82,5.3,N/A,169303
"Cucumber, raw",auto,16,0.62,0.18,2.95,0.5,N/A,2709784
"Lettuce, raw",auto,20,0.92,0.1,3.69,1.3,N/A,2709789
"Spinach, raw",auto,27,2.85,0.62,2.41,1.6,N/A,2709614
"Kale, raw",auto,35.0,2.92,1.49,4.42,4.1,N/A,168421
"Broccoli, raw",auto,39,2.57,0.34,6.27,2.4,N/A,2709643
"Cauliflower, raw",auto,N/A,1.64,0.238,4.72,1.95,N/A,2685573
"Peppers, bell, green, raw",auto,N/A,0.715,0.106,4.78,0.942,N/A,2258588
"Onions, raw",auto,38,0.86,0.08,8.46,1.7,N/A,2709795
"Garlic, raw",auto,143,6.62,0.38,28.2,2.7,N/A,2709786
"Celery, raw",auto,17,0.49,0.16,3.32,1.6,N/A,2709778
"Squash, zucchini, baby, raw",auto,21.0,2.71,0.4,3.11,1.1,N/A,168565
"Clementine, raw",auto,53,0.81,0.31,13.34,1.8,N/A,2709164
