Feature,Correlation_with_Target,Abs_Correlation
Days_WeightAffectedSelfJudgment_Every day,-0.20206816963539442,0.20206816963539442
Eat_SpecificFoodsHabitually_Sometimes,0.18845376190149005,0.18845376190149005
Days_DissatisfiedWithShape_Every day,-0.18593988510498077,0.18593988510498077
EatLess_ToPreventWeightGain_Often,0.185156365809715,0.185156365809715
Eat_WhenPreparingMeal_Often,0.17975760903958055,0.17975760903958055
ConsiderWeight_WhenEating_Often,0.1730782959538018,0.1730782959538018
EatMore_IfFoodSmellsOrLooksGood_Sometimes,0.17214628667503168,0.17214628667503168
EatLess_OnWeightGain_Often,0.16414435979216477,0.16414435979216477
Eat_WhenAnxious_Often,0.16411156114410386,0.16411156114410386
Eat_WhenAngry_Often,0.16299493698824338,0.16299493698824338
Eat_WhenLonely_Often,0.16192195904258305,0.16192195904258305
Days_ExcludedFoodToControlShapeOrWeight_Every day,-0.1579514155216569,0.1579514155216569
EatMore_WhenSeeOthersEating_Often,0.155115220077615,0.155115220077615
Days_FeltFat_13-27 days,-0.15406460525707466,0.15406460525707466
Monitor_Food_Often,0.1516912530588918,0.1516912530588918
Eat_WhenSomeoneLetYouDown_Often,0.14751739434484815,0.14751739434484815
Days_FeltFat_Every day,-0.14548307811518482,0.14548307811518482
Days_UncomfortableOthersSeeingYourShape_No days,-0.14359049629736428,0.14359049629736428
EatLess_AfterOvereating_Often,0.14166443003975182,0.14166443003975182
Days_DesireForFlatStomach_13-27 days,-0.1335450021017635,0.1335450021017635
EatLess_AtMealtime_Often,0.13028873747073957,0.13028873747073957
AvoidSnacks_BetweenMealsForWeightConcern_Often,0.13026651370506676,0.13026651370506676
Eat_WhenThingsGoWrong_Often,0.13026651370506667,0.13026651370506667
Eat_WhenBoredOrRestless_Often,0.13001954512780273,0.13001954512780273
Days_TriedLimitFoodToControlShapeOrWeight_13-27 days,-0.12899268594740726,0.12899268594740726
Eat_WhenFrightened_Often,0.1287567755849842,0.1287567755849842
Eat_WhenSeeDeliciousFood_Often,0.12869424960934284,0.12869424960934284
Eat_WhenDisappointed_Often,0.12826795959661552,0.12826795959661552
Eat_WhenEmotionallyUpset_Often,0.12631464655121905,0.12631464655121905
Location_TriggersHabitualEating_Sometimes,0.12504515465767385,0.12504515465767385
DesireToBuy _FromSnackBarOrCafe_Often,0.12493401146592824,0.12493401146592824
EatMore_IfFoodTasty_Often,0.12405971398849473,0.12405971398849473
AvoidEveningEating_ForWeightConcern_Often,0.12392996383432614,0.12392996383432614
AutomaticEating_WhenExperiencingStrongEmotion_Sometimes,0.12268852060384698,0.12268852060384698
DesireToEat_WhenSeeOthersEating_Often,0.12165309299471445,0.12165309299471445
Realize_AfterEatingOutOfHabit_Often,-0.11986770347666728,0.11986770347666728
Days_UncomfortableOthersSeeingYourShape_Every day,-0.11638762309104919,0.11638762309104919
Eat_WhenExpectingBad_Often,0.11602731350025085,0.11602731350025085
RefuseFood_WeightConcern_Often,0.11469030798801794,0.11469030798801794
Eat_DeliciousFoodImmediately_Often,0.11333314006332032,0.11333314006332032
Realize_AfterEatingOutOfHabit_Sometimes,0.11323370969902587,0.11323370969902587
Eat_WhenUnoccupied_Often,0.11201827498387663,0.11201827498387663
Eat_WhenDepressedOrDiscouraged_Often,0.11146858080041028,0.11146858080041028
Days_FastedToControlShapeOrWeight_13-27 days,-0.1112338900392047,0.1112338900392047
EatMore_IfFoodSmellsOrLooksGood_Often,-0.11123389003920457,0.11123389003920457
Days_UncomfortableToSeeOwnBody_No days,-0.11110114372951929,0.11110114372951929
Days_DissatisfiedWithWeight_13-27 days,-0.10664415389716948,0.10664415389716948
